atis
{'loss': 0.5816761516034603, 'intent_acc': 0.92, 'slot_precision': 0.8679464805119256, 'slot_recall': 0.8725146198830409, 'slot_f1': 0.8702245552639254, 'sementic_frame_acc': 0.636}
{'loss': 0.35112854558974504, 'intent_acc': 0.956, 'slot_precision': 0.9137435307648074, 'slot_recall': 0.9292397660818713, 'slot_f1': 0.9214265004349087, 'sementic_frame_acc': 0.78}
{'loss': 0.29431057162582874, 'intent_acc': 0.96, 'slot_precision': 0.9512910798122066, 'slot_recall': 0.947953216374269, 'slot_f1': 0.9496192149970708, 'sementic_frame_acc': 0.822}
{'loss': 0.22234917804598808, 'intent_acc': 0.97, 'slot_precision': 0.9461493920092646, 'slot_recall': 0.9555555555555556, 'slot_f1': 0.9508292115216759, 'sementic_frame_acc': 0.846}
{'loss': 0.2528504654765129, 'intent_acc': 0.974, 'slot_precision': 0.9530978575564563, 'slot_recall': 0.9625730994152046, 'slot_f1': 0.95781204538842, 'sementic_frame_acc': 0.872}
{'loss': 0.27168573485687375, 'intent_acc': 0.972, 'slot_precision': 0.9731621936989499, 'slot_recall': 0.9754385964912281, 'slot_f1': 0.9742990654205608, 'sementic_frame_acc': 0.886}
{'loss': 0.23306879657320678, 'intent_acc': 0.978, 'slot_precision': 0.9681344148319815, 'slot_recall': 0.9771929824561404, 'slot_f1': 0.9726426076833528, 'sementic_frame_acc': 0.902}
{'loss': 0.23921041283756495, 'intent_acc': 0.978, 'slot_precision': 0.9669181659895532, 'slot_recall': 0.9742690058479532, 'slot_f1': 0.9705796679289251, 'sementic_frame_acc': 0.894}
{'loss': 0.19629107997752726, 'intent_acc': 0.978, 'slot_precision': 0.9714285714285714, 'slot_recall': 0.9742690058479532, 'slot_f1': 0.9728467153284671, 'sementic_frame_acc': 0.892}
{'loss': 0.21887672372395173, 'intent_acc': 0.978, 'slot_precision': 0.978349912229374, 'slot_recall': 0.9777777777777777, 'slot_f1': 0.9780637613337233, 'sementic_frame_acc': 0.906}
{'loss': 0.2242054941598326, 'intent_acc': 0.98, 'slot_precision': 0.9777907656341321, 'slot_recall': 0.9783625730994152, 'slot_f1': 0.9780765857936276, 'sementic_frame_acc': 0.916}
{'loss': 0.298644368594978, 'intent_acc': 0.97, 'slot_precision': 0.9743739079790332, 'slot_recall': 0.9783625730994152, 'slot_f1': 0.9763641669098336, 'sementic_frame_acc': 0.902}
{'loss': 0.2533698653569445, 'intent_acc': 0.978, 'slot_precision': 0.9766763848396501, 'slot_recall': 0.97953216374269, 'slot_f1': 0.9781021897810219, 'sementic_frame_acc': 0.906}
{'loss': 0.23942706501111388, 'intent_acc': 0.978, 'slot_precision': 0.980701754385965, 'slot_recall': 0.980701754385965, 'slot_f1': 0.980701754385965, 'sementic_frame_acc': 0.924}
{'loss': 0.2256463875528425, 'intent_acc': 0.98, 'slot_precision': 0.9772594752186589, 'slot_recall': 0.9801169590643275, 'slot_f1': 0.9786861313868612, 'sementic_frame_acc': 0.916}
{'loss': 0.27229986048769206, 'intent_acc': 0.976, 'slot_precision': 0.9795680093403386, 'slot_recall': 0.9812865497076023, 'slot_f1': 0.9804265264387964, 'sementic_frame_acc': 0.916}
{'loss': 0.24008358526043594, 'intent_acc': 0.98, 'slot_precision': 0.9795560747663551, 'slot_recall': 0.980701754385965, 'slot_f1': 0.9801285797779077, 'sementic_frame_acc': 0.922}
{'loss': 0.2259392647538334, 'intent_acc': 0.984, 'slot_precision': 0.9783878504672897, 'slot_recall': 0.97953216374269, 'slot_f1': 0.9789596727060198, 'sementic_frame_acc': 0.924}
{'loss': 0.23063915711827576, 'intent_acc': 0.978, 'slot_precision': 0.9778683750728014, 'slot_recall': 0.9818713450292398, 'slot_f1': 0.9798657718120806, 'sementic_frame_acc': 0.92}
{'loss': 0.23273003671783954, 'intent_acc': 0.982, 'slot_precision': 0.9778812572759022, 'slot_recall': 0.9824561403508771, 'slot_f1': 0.9801633605600933, 'sementic_frame_acc': 0.926}
{'loss': 0.23581205843947828, 'intent_acc': 0.982, 'slot_precision': 0.9778683750728014, 'slot_recall': 0.9818713450292398, 'slot_f1': 0.9798657718120806, 'sementic_frame_acc': 0.924}
{'loss': 0.23865978396497667, 'intent_acc': 0.982, 'slot_precision': 0.9772991850989523, 'slot_recall': 0.9818713450292398, 'slot_f1': 0.9795799299883314, 'sementic_frame_acc': 0.924}
